Date,Transaction status,Transaction type,Order ID,Product Details,Total product charges,Total promotional rebates,Amazon fees,Other,Total (EUR)
11/1/2025,Released,Order Payment,171-9157607-5809915,Spray Yara Moi 100 Ml,22.34,0,-9.5,4.92,17.76
11/1/2025,Released,Order Payment,403-9545751-8824369,Spray Yara Moi 100 Ml,21.58,0,-9.36,4.75,16.97
11/1/2025,Released,Order Payment,404-0358953-7619570,Spray Yara Moi 100 Ml,21.8,0,-9.4,4.79,17.19
11/1/2025,Released,Order Payment,405-0271581-4025909,Oud Wonder - Eau de Parfum - By Fragranc...,32.78,0,-11.45,7.21,28.54
11/1/2025,Released,Order Payment,407-4605820-6769966,Khadlaj Hareem Al Sultan Gold - Olio Pro...,27.86,0,-12.17,6.13,21.82
11/1/2025,Released,Order Payment,402-7208446-8788307,Vaniglia Tobacco by Fragrance World for ...,32.78,0,-11.45,6.23,27.56
11/1/2025,Released,Order Payment,403-5397537-6486749,Paris Corner Taskeen Caramel Cascade Eau...,32.78,0,-14.93,7.21,25.06
11/1/2025,Released,Order Payment,404-5548590-1581168,Spray Asad 100 Ml,24.58,0,-13.64,9.1,20.04
11/1/2025,Released,Order Payment,404-8133890-5297129,Spray Yara Moi 100 Ml,21.91,0,-12.77,8.81,17.95
11/1/2025,Released,Order Payment,402-9310353-1125136,Spray Yara Moi 100 Ml,22.34,0,-9.5,4.91,17.75
11/1/2025,Released,Order Payment,406-1480198-7046741,Spray Ana Abiyedh 60 Ml,16.39,0,-7.55,3.61,12.45
10/1/2025,Released,Order Payment,408-4845978-4467542,Paris Corner Taskeen Caramel Cascade Eau...,32.78,0,-14.93,7.21,25.06
10/1/2025,Released,Order Payment,405-8999073-7146744,Fragrance World Cherry Incense Acqua Pro...,25.81,-1.64,-10.14,7.32,21.35
10/1/2025,Released,Order Payment,408-9513291-7165137,Spray Yara Moi 100 Ml,21.69,0,-9.38,4.77,17.08
10/1/2025,Released,Order Payment,406-7269465-2765150,Spray Yara Moi 100 Ml,21.7,0,-9.38,4.77,17.09
10/1/2025,Released,Order Payment,408-2459038-0788343,Spray Yara Moi 100 Ml,21.8,0,-9.4,4.79,17.19
10/1/2025,Released,Refund,405-5904530-2813121,Fragrance World Cherry Incense Acqua Pro...,-25.81,0,3.87,-5.68,-27.62
10/1/2025,Released,Order Payment,407-6971633-5673125,Spray Yara Moi 100 Ml,21.69,-1.09,-9.38,5.86,17.08
9/1/2025,Released,Order Payment,405-5904530-2813121,Fragrance World Cherry Incense Acqua Pro...,25.81,0,-10.14,5.68,21.35
9/1/2025,Released,Order Payment,402-1304649-3346717,Fragrance World Cherry Incense Acqua Pro...,25.81,-1.64,-9.88,7.32,21.61
8/1/2025,Released,Order Payment,171-4838853-4453922,Spray Yara Moi 100 Ml,21.8,0,-9.4,4.79,17.19
8/1/2025,Released,Refund,405-6343470-6535537,Spray Yara Moi 100 Ml,-21.59,1.64,3.24,-6.39,-23.1
8/1/2025,Released,Order Payment,403-3361736-3126764,Khadlaj Hareem Al Sultan Gold - Olio Pro...,27.86,0,-12.17,6.13,21.82
8/1/2025,Released,Order Payment,406-1942251-5085951,Spray Yara Moi 100 Ml,21.69,0,-9.38,4.77,17.08
